buildNo,partNo
1,10041
1,10182
1,10235
1,10305
1,10423
1,10564
1,10640
1,10781
2,10066
2,10174
2,10286
2,10331
2,10429
2,10592
2,10643
2,10738
3,10089
3,10121
3,10291
3,10328
3,10489
3,10539
3,10618
3,10721
4,10064
4,10184
4,10217
4,10395
4,10496
4,10530
4,10603
4,10742
5,10005
5,10199
5,10291
5,10319
5,10402
5,10587
5,10678
5,10797
6,10094
6,10151
6,10264
6,10357
6,10460
6,10540
6,10654
6,10752
7,10000
7,10147
7,10257
7,10332
7,10475
7,10581
7,10620
7,10731
8,10038
8,10139
8,10240
8,10334
8,10424
8,10589
8,10617
8,10781
9,10088
9,10177
9,10289
9,10319
9,10481
9,10558
9,10649
9,10787
10,10099
10,10111
10,10278
10,10313
10,10400
10,10583
10,10675
10,10742
11,10034
11,10155
11,10261
11,10393
11,10478
11,10595
11,10601
11,10796
12,10095
12,10164
12,10227
12,10387
12,10470
12,10598
12,10658
12,10710
13,10001
13,10164
13,10292
13,10312
13,10473
13,10546
13,10643
13,10779
14,10021
14,10185
14,10235
14,10344
14,10443
14,10524
14,10684
14,10709
15,10076
15,10197
15,10269
15,10397
15,10428
15,10537
15,10665
15,10704
16,10036
16,10126
16,10263
16,10305
16,10461
16,10524
16,10600
16,10713
17,10071
17,10156
17,10254
17,10334
17,10406
17,10558
17,10680
17,10786
18,10055
18,10106
18,10288
18,10303
18,10441
18,10505
18,10657
18,10789
19,10013
19,10124
19,10233
19,10328
19,10494
19,10505
19,10683
19,10769
20,10072
20,10186
20,10295
20,10397
20,10411
20,10550
20,10610
20,10717
21,10082
21,10128
21,10261
21,10392
21,10477
21,10528
21,10667
21,10718
22,10068
22,10141
22,10265
22,10311
22,10427
22,10541
22,10619
22,10766
23,10076
23,10154
23,10251
23,10399
23,10434
23,10537
23,10669
23,10714
24,10092
24,10113
24,10289
24,10368
24,10403
24,10565
24,10648
24,10722
25,10099
25,10143
25,10238
25,10321
25,10496
25,10575
25,10665
25,10746
26,10082
26,10198
26,10225
26,10335
26,10466
26,10540
26,10684
26,10711
27,10088
27,10105
27,10221
27,10358
27,10410
27,10531
27,10681
27,10709
28,10037
28,10136
28,10253
28,10307
28,10412
28,10555
28,10688
28,10772
29,10023
29,10155
29,10211
29,10313
29,10494
29,10599
29,10648
29,10781
30,10023
30,10171
30,10274
30,10352
30,10496
30,10591
30,10673
30,10797
31,10032
31,10119
31,10249
31,10329
31,10438
31,10576
31,10699
31,10713
32,10082
32,10130
32,10202
32,10319
32,10407
32,10531
32,10640
32,10700
33,10083
33,10129
33,10275
