storeNo,partNo,date,price
1,10000,2019-07-01,224.99
1,10000,2019-08-01,282.99
1,10000,2019-09-01,272.99
1,10000,2019-10-01,227.99
1,10000,2019-11-01,242.99
1,10000,2019-12-01,289.99
2,10000,2019-07-01,279.99
2,10000,2019-08-01,264.99
2,10000,2019-09-01,249.99
2,10000,2019-10-01,299.99
2,10000,2019-11-01,279.99
2,10000,2019-12-01,274.99
3,10000,2019-07-01,242.99
3,10000,2019-08-01,292.99
3,10000,2019-09-01,252.99
3,10000,2019-10-01,202.99
3,10000,2019-11-01,247.99
3,10000,2019-12-01,247.99
4,10000,2019-07-01,0.0
4,10000,2019-08-01,257.99
4,10000,2019-09-01,232.99
4,10000,2019-10-01,299.99
4,10000,2019-11-01,289.99
4,10000,2019-12-01,284.99
5,10000,2019-07-01,287.99
5,10000,2019-08-01,207.99
5,10000,2019-09-01,207.99
5,10000,2019-10-01,0.0
5,10000,2019-11-01,199.99
5,10000,2019-12-01,237.99
6,10000,2019-07-01,219.99
6,10000,2019-08-01,287.99
6,10000,2019-09-01,254.99
6,10000,2019-10-01,0.0
6,10000,2019-11-01,279.99
6,10000,2019-12-01,219.99
7,10000,2019-07-01,277.99
7,10000,2019-08-01,274.99
7,10000,2019-09-01,247.99
7,10000,2019-10-01,199.99
7,10000,2019-11-01,274.99
7,10000,2019-12-01,232.99
1,10001,2019-07-01,166.99
1,10001,2019-08-01,197.99
1,10001,2019-09-01,193.99
1,10001,2019-10-01,150.99
1,10001,2019-11-01,0.0
1,10001,2019-12-01,140.99
2,10001,2019-07-01,160.99
2,10001,2019-08-01,179.99
2,10001,2019-09-01,141.99
2,10001,2019-10-01,174.99
2,10001,2019-11-01,0.0
2,10001,2019-12-01,184.99
3,10001,2019-07-01,173.99
3,10001,2019-08-01,148.99
3,10001,2019-09-01,150.99
3,10001,2019-10-01,153.99
3,10001,2019-11-01,181.99
3,10001,2019-12-01,191.99
4,10001,2019-07-01,176.99
4,10001,2019-08-01,148.99
4,10001,2019-09-01,155.99
4,10001,2019-10-01,156.99
4,10001,2019-11-01,0.0
4,10001,2019-12-01,153.99
5,10001,2019-07-01,150.99
5,10001,2019-08-01,150.99
5,10001,2019-09-01,197.99
5,10001,2019-10-01,178.99
5,10001,2019-11-01,143.99
5,10001,2019-12-01,131.99
6,10001,2019-07-01,148.99
6,10001,2019-08-01,197.99
6,10001,2019-09-01,169.99
6,10001,2019-10-01,141.99
6,10001,2019-11-01,151.99
6,10001,2019-12-01,173.99
7,10001,2019-07-01,189.99
7,10001,2019-08-01,183.99
7,10001,2019-09-01,166.99
7,10001,2019-10-01,194.99
7,10001,2019-11-01,168.99
7,10001,2019-12-01,174.99
1,10002,2019-07-01,411.99
1,10002,2019-08-01,510.99
1,10002,2019-09-01,368.99
1,10002,2019-10-01,0.0
1,10002,2019-11-01,441.99
1,10002,2019-12-01,501.99
2,10002,2019-07-01,441.99
2,10002,2019-08-01,0.0
2,10002,2019-09-01,0.0
2,10002,2019-10-01,343.99
2,10002,2019-11-01,390.99
2,10002,2019-12-01,450.99
3,10002,2019-07-01,488.99
3,10002,2019-08-01,394.99
3,10002,2019-09-01,488.99
3,10002,2019-10-01,0.0
3,10002,2019-11-01,343.99
3,10002,2019-12-01,493.99
4,10002,2019-07-01,514.99
4,10002,2019-08-01,343.99
4,10002,2019-09-01,463.99
4,10002,2019-10-01,437.99
4,10002,2019-11-01,471.99
4,10002,2019-12-01,394.99
5,10002,2019-07-01,467.99
5,10002,2019-08-01,463.99
5,10002,2019-09-01,445.99
5,10002,2019-10-01,403.99
5,10002,2019-11-01,437.99
5,10002,2019-12-01,484.99
6,10002,2019-07-01,505.99
6,10002,2019-08-01,510.99
6,10002,2019-09-01,420.99
6,10002,2019-10-01,0.0
6,10002,2019-11-01,377.99
6,10002,2019-12-01,0.0
7,10002,2019-07-01,493.99
7,10002,2019-08-01,355.99
7,10002,2019-09-01,364.99
7,10002,2019-10-01,0.0
7,10002,2019-11-01,467.99
7,10002,2019-12-01,373.99
1,10003,2019-07-01,0.0
1,10003,2019-08-01,528.99
1,10003,2019-09-01,398.99
1,10003,2019-10-01,568.99
1,10003,2019-11-01,543.99
1,10003,2019-12-01,408.99
2,10003,2019-07-01,448.99
2,10003,2019-08-01,438.99
