partNo,name,socket,formFactor,ramSlots,maxRam
10200,MSI B450 TOMAHAWK,AM4,ATX,4,64
10201,Asus ROG STRIX B450-F GAMING,AM4,ATX,4,64
10202,ASRock B450M PRO4,AM4,Micro ATX,4,64
10203,MSI Z390-A PRO,LGA1151,ATX,4,128
10204,Gigabyte B450M DS3H,AM4,Micro ATX,4,64
10205,MSI B450 TOMAHAWK MAX,AM4,ATX,4,64
10206,MSI B450 GAMING PRO CARBON AC,AM4,ATX,4,64
10207,Asus ROG STRIX Z390-E GAMING,LGA1151,ATX,4,128
10208,MSI MPG X570 GAMING EDGE WIFI,AM4,ATX,4,128
10209,Asus PRIME Z390-A,LGA1151,ATX,4,128
10210,MSI X570-A PRO,AM4,ATX,4,128
10211,Gigabyte GA-A320M-S2H,AM4,Micro ATX,2,32
10212,Asus Prime X470-Pro,AM4,ATX,4,64
10213,Gigabyte B450 AORUS ELITE,AM4,ATX,4,64
10214,ASRock B450M-HDV R4.0,AM4,Micro ATX,2,32
10215,Asus ROG MAXIMUS XI HERO (WI-FI),LGA1151,ATX,4,128
10216,Asus TUF GAMING X570-PLUS (WI-FI),AM4,ATX,4,128
10217,Gigabyte X570 I AORUS PRO WIFI,AM4,Mini ITX,2,64
10218,Gigabyte Z390 AORUS PRO WIFI,LGA1151,ATX,4,128
10219,MSI B450M GAMING PLUS,AM4,Micro ATX,2,32
10220,Gigabyte B450 I AORUS PRO WIFI,AM4,Mini ITX,2,32
10221,MSI MPG Z390 GAMING EDGE AC,LGA1151,ATX,4,128
10222,ASRock B450 Pro4,AM4,ATX,4,64
10223,ASRock B365M Pro4,LGA1151,Micro ATX,4,64
10224,Asus ROG Strix B450-I Gaming,AM4,Mini ITX,2,32
10225,MSI MPG X570 GAMING PLUS,AM4,ATX,4,128
10226,ASRock X570 Phantom Gaming 4,AM4,ATX,4,128
10227,Asus PRIME B450M-A/CSM,AM4,Micro ATX,4,64
10228,Asus ROG STRIX X470-F Gaming,AM4,ATX,4,64
10229,ASRock B450M Steel Legend,AM4,Micro ATX,4,64
10230,Gigabyte X570 AORUS ELITE,AM4,ATX,4,128
10231,Asus ROG Crosshair VIII Hero (WI-FI),AM4,ATX,4,64
10232,Asus ROG STRIX Z390-I GAMING,LGA1151,Mini ITX,2,64
10233,Gigabyte B450 AORUS M,AM4,Micro ATX,4,64
10234,Gigabyte Z390 AORUS ULTRA,LGA1151,ATX,4,128
10235,ASRock B450M/AC,AM4,Micro ATX,4,64
10236,Asus PRIME X570-P,AM4,ATX,4,128
10237,MSI MPG Z390 GAMING PRO CARBON,LGA1151,ATX,4,128
10238,MSI MPG X570 GAMING PRO CARBON WIFI,AM4,ATX,4,128
10239,MSI X470 GAMING PLUS,AM4,ATX,4,64
10240,Asus PRIME A320M-K,AM4,Micro ATX,2,32
10241,ASRock B450 Steel Legend,AM4,ATX,4,64
10242,ASRock X570M Pro4,AM4,Micro ATX,4,128
10243,MSI B450I GAMING PLUS AC,AM4,Mini ITX,2,32
10244,MSI B450 Gaming Plus,AM4,ATX,4,64
10245,ASRock A320M-HDV R4.0,AM4,Micro ATX,2,32
10246,Gigabyte B450 AORUS PRO WIFI (rev. 1.0),AM4,ATX,4,64
10247,Asus Prime Z370-A,LGA1151,ATX,4,64
10248,ASRock X570 Taichi,AM4,ATX,4,128
10249,Gigabyte X570 GAMING X,AM4,ATX,4,128
10250,MSI X470 GAMING PRO,AM4,ATX,4,64
10251,Gigabyte Z390 UD,LGA1151,ATX,4,128
10252,Asus ROG Strix X570-E Gaming,AM4,ATX,4,128
10253,Asus PRIME X570-PRO,AM4,ATX,4,128
10254,Asus ROG ZENITH EXTREME ALPHA,sTR4,EATX,8,128
10255,Asus TUF GAMING X570-PLUS,AM4,ATX,4,128
10256,MSI B450M BAZOOKA V2,AM4,Micro ATX,4,64
10257,Gigabyte X570 AORUS ELITE WIFI,AM4,ATX,4,128
10258,Gigabyte Z390 I AORUS PRO WIFI,LGA1151,Mini ITX,2,64
10259,MSI MPG Z390 GAMING PLUS,LGA1151,ATX,4,128
10260,MSI H310M PRO-VDH PLUS,LGA1151,Micro ATX,2,32
10261,MSI B450M PRO-VDH MAX,AM4,Micro ATX,4,64
10262,Gigabyte X570 AORUS MASTER,AM4,ATX,4,128
10263,Asus ROG STRIX Z390-F GAMING,LGA1151,ATX,4,128
10264,Gigabyte B360M DS3H,LGA1151,Micro ATX,4,64
10265,Gigabyte Z390 AORUS MASTER,LGA1151,ATX,4,128
10266,Asus ROG RAMPAGE VI EXTREME OMEGA,LGA2066,EATX,8,128
10267,Asus ASUS Prime A320I-K AM4 AMD A320 SATA 6Gb/s Mini ITX AMD Motherboard,AM4,Mini ITX,2,32
10268,MSI B450-A PRO,AM4,ATX,4,64
10269,MSI MPG Z390M GAMING EDGE AC,LGA1151,Micro ATX,4,128
10270,Asus STRIX B350-F GAMING,AM4,ATX,4,64
10271,Asus ROG MAXIMUS XI EXTREME,LGA1151,EATX,4,128
10272,MSI B450M PRO-M2 MAX,AM4,Micro ATX,2,32
10273,ASRock B250 Pro4,LGA1151,ATX,4,64
10274,MSI B360-A PRO,LGA1151,ATX,4,64
10275,MSI B360 GAMING PLUS,LGA1151,ATX,4,64
10276,Asus ROG STRIX X470-I GAMING,AM4,Mini ITX,2,32
10277,Asus TUF B450M-PLUS GAMING,AM4,Micro ATX,4,64
10278,ASRock B450M Pro4-F,AM4,Micro ATX,4,64
10279,ASRock X570 Pro4,AM4,ATX,4,128
10280,MSI MAG Z390 TOMAHAWK,LGA1151,ATX,4,128
10281,ASRock X570 Steel Legend,AM4,ATX,4,128
10282,Gigabyte X470 AORUS ULTRA GAMING,AM4,ATX,4,64
